community,children,sex,age,treatment,deaths,persontime
BOULEL GAOURI ZARMA:BIRNI:BOBOYE-1,78,0.46153846,29.641026,1,0,53669.5
BOULEL GAOURI:BIRNI:BOBOYE-1,80,0.4375,32.75,1,1,59071.5
BOULOUNGAYE:SABOULA:BOBOYE-5,229,0.50655019,30,1,3,143173.5
BOUMBA:KOTAKI:BOBOYE-4,558,0.53225809,28.338709,1,23,356452
BOUNDI CIMENT:BOSSIA:BOBOYE-1,28,0.6785714,33.535713,0,1,20779
BOUNDOU GOUMEY:KANKANDI:BOBOYE-3,259,0.47876447,31.613899,0,7,191615.5
BOUNDOU KONKEYE:FANDOU:BOBOYE-2,102,0.5,31.686274,1,1,71120
BOURINGA BERI:GUILLADJE:BOBOYE-2,64,0.484375,28.359375,1,5,45462.5
BOURINGA KAINA:GUILLADJE:BOBOYE-2,66,0.5,30.242424,1,2,44789.5
BOYBANGOU PEULH:TONKOSSARE:BOBOYE-5,97,0.50515461,29.474226,1,1,61728
BOYIZE:KOTAKI:BOBOYE-4,109,0.56880736,29.6789,1,7,74002.5
BRIGAMBOU:BOSSIA:BOBOYE-1,191,0.50261778,29.020943,0,10,135721
CHEKOU KOIRA:SABOULA:BOBOYE-5,72,0.58333331,30.611111,1,4,46628
DABAGA:BIRNI:BOBOYE-1,189,0.50264549,32.222221,1,4,127755
DABEY:TONKOSSARE:BOBOYE-5,64,0.515625,30.6875,0,2,34593.5
DAGABA BERI:BOUKI:LOGA-1,133,0.57894737,32.458645,1,6,104418.5
DAGABA MAI YAKI KOIRA:SARGADJI:LOGA,169,0.47928995,30.964497,0,8,150916
DAN I HA (DAN IYA):GUILLADJE:BOBOYE-2,81,0.50617284,28.432098,1,2,41707.5
DANAL KOIRA (DAWAL KOIRA):GUILLADJE:BOBOYE-2,124,0.57258064,32.05645,0,9,71043.5
DANBAZI:LOGA:LOGA-2,88,0.5,31.295454,0,7,65522.5
DANDIRE:ZOUZOU SANEY:BOBOYE-5,54,0.4074074,29.148148,0,3,47021
DANEY:TONKOSSARE:BOBOYE-5,68,0.5147059,25.07353,1,2,51345
DAR EL SALAM:ZOUZOU BERI:BOBOYE-5,150,0.56,32.826668,0,10,107920
