community,children,sex,age,treatment,deaths,persontime
ZAMAN LAHIYA:MALLAN KOIRA:LOGA-2,62,0.40322581,31.370968,0,1,35626
ZAMEYDO:KOYGOLO:BOBOYE-4,16,0.5625,35.4375,0,1,9366.5
ZAMTOURI KOUKOU:TEGUEZE KOIRA:LOGA-2,34,0.41176471,29.205883,0,2,24079.5
ZAWATA N'DOGA (ZAWA FANDOGA):BIRNI:BOBOYE-1,107,0.50467288,32.037384,1,3,68012.5
ZINDAROU DJERMA:ZOUZOU SANEY:BOBOYE-5,86,0.61627907,28.593023,0,6,71925
ZINDAROU PEULH (LET-GUEL):ZOUZOU SANEY:BOBOYE,68,0.5147059,26.882353,0,0,28344.5
ZONGO SARE DJERMA:TONKOSSARE:BOBOYE-5,83,0.59036142,31.987951,0,0,47406
ZONKOTO BANDA:LOGA:LOGA,128,0.59375,32.921875,1,5,88252.5
ZOU KOIRA:BOSSIA:BOBOYE-1,199,0.51256281,29.261307,0,18,137495.5
ZOUZOU SANEY PEULH:ZOUZOU SANEY:BOBOYE-5,75,0.50666666,28.92,0,1,57179.5
ZOUZOU SANEY:ZOUZOU SANEY:BOBOYE-5,364,0.5412088,30.236263,1,27,263953
ZOZO TOMBO HAROUNA:KOURO BERI:LOGA-1,286,0.48601398,30.486013,1,9,174775
ZOZO TOMBO KODA:TOULLOU MAIMASSA:LOGA-2,145,0.53103447,29.337931,0,18,96229.5
