# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Jun 15 00:02:19 PDT 2022 [seed=2020]
# -seed 2020 -beagle_double -beagle_gpu -save_every 1000000 -save_state Beast.chkpt -overwrite ./SnYFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1300	-11502.840523275872	-197.44454145319338	-11305.39598182268	70.45451311889299	1938.545486881107	216.58098436246058	56.628123888766964	1952.371876111233	3.5227973549440024	5.605037831190589	3.7611176082796045	12.70107311999837	0.2425398555111912	0.259278468104079	0.2302993324616389	0.26788234392309085	0.28378298981910643	0.38113876131451724	0.5673199648753383	0.2970595255725536	0.3141832939647737	0.38875718046267266	0.8911785767176608	0.942549881894321	1.166271541388018	0.06496333678603904	0.06496333678603906	-11305.39598182268	0.0	-174.49883885223485
1400	-11364.592223946682	-202.10622522902858	-11162.485998717653	70.2489631814671	1938.7510368185328	220.731501137958	56.628123888766964	1952.371876111233	3.4250999298392264	5.463477633231362	4.771190077304456	12.70107311999837	0.2425398555111912	0.259278468104079	0.2302993324616389	0.26788234392309085	0.28378298981910643	0.38113876131451724	0.6877800890737477	0.2970595255725536	0.3141832939647737	0.38875718046267266	0.8911785767176608	0.942549881894321	1.166271541388018	0.06496333678603904	0.06496333678603902	-11162.485998717653	0.0	-178.41945109720464
1500	-11251.83727568194	-202.95976743900772	-11048.877508242933	69.58193926077864	1939.4180607392213	222.45963119669824	56.628123888766964	1952.371876111233	5.516651196942141	7.23095173462984	4.771190077304456	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.28378298981910643	0.3675774067463746	0.6877800890737477	0.2532202025272557	0.33826159578696435	0.4085182016857799	0.7596606075817671	1.014784787360893	1.2255546050573396	0.06496333678603904	0.06496333678603905	-11048.877508242933	0.0	-178.3988899450785
1600	-11093.215097339422	-197.6595299721924	-10895.55556736723	69.58193926077864	1939.4180607392213	224.08377169460437	56.628123888766964	1952.371876111233	4.482882472990233	7.23095173462984	4.771190077304456	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.21998209067666152	0.3675774067463746	0.6877800890737477	0.15419919492536283	0.4372826033888572	0.4085182016857799	0.4625975847760885	1.3118478101665716	1.2255546050573396	0.040550653532554735	0.04055065353255472	-10895.55556736723	0.0	-179.0392616960095
1700	-10943.455846069644	-209.45170816289934	-10734.004137906744	71.86729851722872	1937.1327014827714	245.7043819197207	56.23722172076235	1952.7627782792376	5.18859494990239	8.33946874456637	6.161234074619124	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.19349890528863434	0.3675774067463746	0.6877800890737477	0.15419919492536283	0.4372826033888572	0.4085182016857799	0.4625975847760885	1.3118478101665716	1.2255546050573396	0.040550653532554735	0.040550653532554735	-10734.004137906744	0.0	-189.29958771875454
1800	-10883.023456488925	-214.1543086440538	-10668.86914784487	75.74624429401119	1933.2537557059889	258.5992870784622	56.23722172076235	1952.7627782792376	4.964175585765017	8.33946874456637	7.813934947025564	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.1868601669885529	0.3675774067463746	0.6877800890737477	0.15419919492536283	0.4372826033888572	0.4085182016857799	0.4625975847760885	1.3118478101665716	1.2255546050573396	0.04109976962931442	0.04109976962931446	-10668.86914784487	0.0	-193.03376095721137
1900	-10796.807828528774	-219.1025218878122	-10577.70530664096	75.74624429401119	1933.2537557059889	264.39008072189745	56.23722172076235	1952.7627782792376	4.964175585765017	8.33946874456637	7.813934947025564	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.1868601669885529	0.3675774067463746	0.6877800890737477	0.1401231021783834	0.4402323572398731	0.41964454058174344	0.42036930653515014	1.3206970717196191	1.2589336217452303	0.04109976962931442	0.041099769629314456	-10577.70530664096	0.0	-197.75504685705863
2000	-10758.416016464025	-218.66398069243735	-10539.752035771588	77.33439604598296	1931.6656039540171	267.6160774120898	56.23722172076235	1952.7627782792376	6.7129199404953095	8.33946874456637	7.813934947025564	11.969910042941684	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.1868601669885529	0.3675774067463746	0.6877800890737477	0.09908623865927138	0.4812692207589851	0.41964454058174344	0.29725871597781417	1.4438076622769553	1.2589336217452303	0.04109976962931442	0.04109976962931443	-10539.752035771588	0.0	-196.88592218942432
2100	-10653.64842733801	-226.8769572231197	-10426.77147011489	77.64353374210225	1931.3564662578979	279.90607310210777	56.46202524995225	1952.5379747500479	6.743271521035235	8.33946874456637	7.813934947025564	12.148758463495808	0.2425398555111912	0.259278468104079	0.2148101199553883	0.2833715564293414	0.1257328340809831	0.3675774067463746	0.6877800890737477	0.09908623865927138	0.4812692207589851	0.41964454058174344	0.29725871597781417	1.4438076622769553	1.2589336217452303	0.03877294251611089	0.03877294251611089	-10426.77147011489	0.0	-205.3853966461206
2200	-10542.453817606596	-230.40099697318905	-10312.052820633407	77.67025361543368	1931.3297463845663	285.7462005380622	56.67328503023148	1952.3267149697685	6.743271521035235	8.33946874456637	7.813934947025564	12.148758463495808	0.2425398555111912	0.2606801553279367	0.2148101199553883	0.2819698692054837	0.1257328340809831	0.3675774067463746	0.6877800890737477	0.09908623865927138	0.4812692207589851	0.41964454058174344	0.29725871597781417	1.4438076622769553	1.2589336217452303	0.038759603971887165	0.038759603971887165	-10312.052820633407	0.0	-208.6973059033863
