# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Jun 16 17:07:33 PDT 2022 [seed=2020]
# -seed 2020 -beagle_double -beagle_gpu -save_every 1000000 -save_state Beast.chkpt -overwrite Sn_H1N1pdm_2009.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1900	-21462.21310805555	6.977721059915666	-21469.190829115465	0.21365277461487225	2009.189347225385	2.220480103795017	1.0259801786194707	12.867418757628673	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.12226949135967789	0.027369947760288067	0.027369947760288078	-21469.190829115465	0.0	10.641519213797864
2000	-21439.449035681646	7.709768202037203	-21447.15880388368	0.21313395639712582	2009.189866043603	2.2200393953882815	1.0259801786194707	12.867418757628673	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.09078167372355159	0.027436572655526945	0.027436572655526934	-21447.15880388368	0.0	11.31204145412649
2100	-21273.77141265723	6.668653083690499	-21280.440065740917	0.21358950801748156	2009.1894104919825	2.2423344028238392	1.0259801786194707	11.277696093280447	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.09078167372355159	0.01765764744406427	0.017657647444064267	-21280.440065740917	0.0	10.008362964665547
2200	-21223.37227348317	8.621337216051227	-21231.993610699225	0.187652864870738	2009.2153471351294	2.149516895844796	1.0259801786194707	11.277696093280447	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.08451925343581836	0.011676917938969744	0.011676917938969748	-21231.993610699225	0.0	11.748387361038919
2300	-21205.061215782025	4.4534107913400405	-21209.514626573364	0.187652864870738	2009.2153471351294	2.1447168198365634	1.0479686472019947	15.523273536443485	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.07938220468523427	0.013241806417531015	0.013241806417531015	-21209.514626573364	0.0	8.484375699004532
2400	-21176.94034460622	2.5143018781512865	-21179.454646484373	0.17944046910914951	2009.223559530891	2.248125002282723	1.0479686472019947	12.697883778684922	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.06688926629633953	0.01270281408522065	0.012702814085220657	-21179.454646484373	0.0	6.447862381115105
2500	-21167.268059640483	0.9278774846878308	-21168.19593712517	0.1792620605319465	2009.223737939468	2.3245258524458374	1.0479686472019947	12.697883778684922	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.06688926629633953	0.01270281408522065	0.012702814085220645	-21168.19593712517	0.0	4.84569871978381
2600	-21126.30756586435	-4.347542486772788	-21121.96002337758	0.17912073036196807	2009.223879269638	2.4211901709483516	0.9937757729658053	11.38578181381858	11.3177567923618	0.30021647536068496	0.2119427531891426	0.23554738673750836	0.25229338471266405	0.061606394743333036	0.012173350197232525	0.012173350197232514	-21121.96002337758	0.0	-1.6437454419964692
2700	-21070.718778737046	-1.376907043649284	-21069.341871693396	0.1795667691297986	2009.2234332308701	2.3586776701939667	0.9937757729658053	8.832063100192878	11.3177567923618	0.31538988058666695	0.2119427531891426	0.2203739815115264	0.25229338471266405	0.055990104493655886	0.012173350197232525	0.012173350197232521	-21069.341871693396	0.0	1.3024382832694295
2800	-21036.167348361414	-2.1973824630456753	-21033.96996589837	0.17867792153927803	2009.2243220784608	2.3548501111085454	0.9937757729658053	9.117600351489314	11.3177567923618	0.31538988058666695	0.2119427531891426	0.2203739815115264	0.25229338471266405	0.018551653065266602	0.012233907499993597	0.012233907499993592	-21033.96996589837	0.0	0.4133305036499686
2900	-20951.48041194628	1.7874722034926864	-20953.267884149773	0.20565960524599333	2009.197340394754	2.306559107018758	0.9937757729658053	9.117600351489314	11.3177567923618	0.31538988058666695	0.2119427531891426	0.2203739815115264	0.25229338471266405	0.031247677322669257	0.012306302540621233	0.012306302540621233	-20953.267884149773	0.0	4.4364635951226
3000	-20907.793222804812	-0.39162641462715575	-20907.401596390184	0.20650579570268754	2009.1964942042973	2.4508656064986805	0.9937757729658053	9.117600351489314	11.3177567923618	0.31538988058666695	0.1865104806152916	0.2458062540853774	0.25229338471266405	0.031247677322669257	0.011045230863351942	0.011045230863351942	-20907.401596390184	0.0	2.1716515317112752
